Serial No.,Name,Links,Genre and Theme,No. of episodes,Rating
1,Fullmetal Alchemist: Brotherhood (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10216,"adventure,comedy,drama,fantasy,thriller,alchemy,conspiracy,Homunculi,military,steampunk,tragedy,",64,9.09
2,Steins;Gate (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=11770,"adventure,comedy,drama,mystery,psychological,romance,science fiction,thriller,butterfly effect,conspiracy,technology,Time travel,tragedy,",24,9.04
3,Clannad After Story (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9701,"comedy,drama,psychological,romance,supernatural,bishoujo,coming of age,entering adulthood,family,moe,parenting,tragedy,",25,9.04
4,your name. (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=18171,"comedy,drama,romance,supernatural,amnesia,body switch,iyashikei,natural disaster,tragedy,",1,9.02
5,Rurouni Kenshin: Trust &amp; Betrayal (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=210,"action,drama,romance,historical,revenge,samurai,tragedy,",4,8.97
6,Code Geass: Lelouch of the Rebellion R2 (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9173,"action,drama,magic,psychological,science fiction,alternate history,conspiracy,immortality,mecha,military,mind control,politics,real robot,revenge,strategic minds,terrorism,tragedy,war,",25,8.93
7,Spirited Away (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=377,"adventure,drama,fantasy,spirits,",1,8.92
8,Cowboy Bebop (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13,"action,drama,science fiction,bounty hunters,space,space western,",26,8.89
9,Mushishi: The Next Chapter (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15895,"adventure,drama,mystery,psychological,supernatural,folklore,iyashikei,mythology,nature,spirits,",1,8.89
10,Princess Mononoke (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=197,"adventure,drama,fantasy,deforestation,forest spirit,spirits,",1,8.86
11,(The)' Disappearance of Haruhi Suzumiya (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=11120,"drama,magic,mystery,psychological,science fiction,alternate reality,high school,time travel,",1,8.85
12,(The)' Legend of the Galactic Heroes (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1786,"drama,science fiction,military,politics,space,space battles,space navy,war,",110,8.82
13,Mushi-Shi (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=5923,"adventure,mystery,psychological,slice of life,supernatural,folklore,iyashikei,mythology,nature,spirits,",26,8.79
14,A Silent Voice (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16661,"comedy,drama,psychological,romance,bullying,deafness,friendship,School life,suicide,",1,8.78
15,Death Note (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6592,"drama,mystery,psychological,supernatural,thriller,crime,death,detective,justice,Magic Book,police,shinigami,",37,8.78
16,Maria Watches Over Us 3rd Season (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6113,"slice of life,shoujo-ai,",5,8.76
17,Maria Watches Over Us Season 2: Printemps (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=4175,"slice of life,shoujo-ai,yuri,",13,8.74
18,Code Geass: Lelouch of the Rebellion (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6704,"action,drama,magic,psychological,science fiction,Alternate history,immortality,mecha,military,mind control,politics,real robot,school,strategic minds,terrorism,war,",25,8.74
19,Made in Abyss (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=18952,"adventure,drama,fantasy,psychological,science fiction,demi-humans,exploration,nature,post-apocalyptic,robots,wild beasts,",13,8.71
20,Monster (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=3750,"drama,horror,mystery,psychological,thriller,amnesia,crime,detective,medicine,nazis,police,serial killer,tragedy,",74,8.71
21,anohana: The Flower We Saw That Day (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12368,"drama,romance,supernatural,ghosts,growing up,love triangle,",11,8.7
22,Evangelion: 2.0 You Can (Not) Advance (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8421,"action,drama,psychological,science fiction,mecha,military,post-apocalyptic,",1,8.7
23,Bunny Drop (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12398,"comedy,slice of life,adoption,family,iyashikei,parenting,single parents,taking care of a child,",11,8.7
24,Maria Watches Over Us 4th Season (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=9210,"drama,shoujo-ai,",13,8.7
25,Gintama' (TV 2/2011),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12835,"action,comedy,drama,science fiction,aliens,parody,samurai,space,",51,8.69
26,Ghost in the Shell: Stand Alone Complex 2nd GIG (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8495,"action,drama,psychological,science fiction,android,crime,cyberpunk,military,police,politics,virtual reality,",26,8.67
27,Gintama (TV 4/2015),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16644,"action,comedy,drama,Historical,Parody,Samurai,",51,8.67
28,Grave of the Fireflies (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=152,"drama,historical,tragedy,war,World War II,",1,8.66
29,Gintama' (TV 3/2012),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15223,"action,comedy,drama,science fiction,Aliens,Historical,Parody,Samurai,",13,8.66
30,Fruits Basket the Final (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=23980,"drama,romance,supernatural,",1,8.65
31,Hajime no Ippo (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1139,"action,comedy,drama,tournament,boxing,coming-of-age,sports,",76,8.65
32,Fullmetal Alchemist (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=2960,"adventure,comedy,drama,fantasy,alchemy,Homunculi,military,steampunk,tragedy,",51,8.65
33,Nausicaä of the Valley of the Wind (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=180,"adventure,drama,fantasy,science fiction,giant insects,post-apocalyptic,",1,8.64
34,Cross Game (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10580,"drama,romance,tournament,baseball,school,sports,tsundere,",50,8.63
35,Summer Wars (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10544,"adventure,comedy,drama,romance,science fiction,thriller,computers,family,social-networking,technology,virtual reality,",1,8.63
36,(The)' Girl Who Leapt Through Time (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6733,"adventure,comedy,drama,romance,science fiction,school,time travel,",1,8.63
37,Nodame Cantabile (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7010,"comedy,drama,romance,college,music,",23,8.62
38,Descending Stories: Showa Genroku Rakugo Shinju (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=18888,"drama,historical,rakugo,",12,8.62
39,5 Centimeters Per Second (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6696,"drama,romance,coming of age,school,school life,",1,8.61
40,Gurren Lagann (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6698,"action,comedy,drama,science fiction,Burning Manly Passion,mecha,post-apocalyptic,super robot,",27,8.61
41,ODDTAXI (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=23921,,1,8.6
42,(The)' Garden of Sinners (movie series),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7472,"horror,magic,psychological,romance,absurdity,gore,murder,",1,8.6
43,My Neighbor Totoro (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=534,"adventure,comedy,supernatural,forest spirits,magical creatures,",1,8.6
44,Hunter × Hunter (TV 2011),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13262,"adventure,comedy,drama,fantasy,tournament,bounty hunters,coming-of-age,developing powers,gore,organized crime,special abilities,survival game,",148,8.59
45,Baccano! (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7492,"action,comedy,horror,supernatural,alchemy,crime,historical,immortality,mafia,",16,8.58
46,Wolf Children (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13862,"drama,romance,supernatural,country life,family,growing up,wolves,",1,8.57
47,Star Blazers 2199 (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13776,"adventure,drama,romance,science fiction,battleships,conspiracy,military,space,space navy,space opera,spaceships,war,",26,8.56
48,Hajime no Ippo: New Challenger (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10387,"comedy,drama,tournament,boxing,",26,8.56
49,Honey and Clover II (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6440,"comedy,drama,romance,Fine Arts,unrequited love,",12,8.56
50,Natsume's Book of Friends (TV 4),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13600,"slice of life,supernatural,folklore,spirits,",13,8.56
51,GTO: Great Teacher Onizuka (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=153,"comedy,drama,coming of age,delinquents,school,troublesome kids,",43,8.55
52,Howl's Moving Castle (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=889,"adventure,drama,fantasy,romance,sorcery,wizards,",1,8.55
53,Kanon (TV 2/2006),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6431,"drama,romance,supernatural,moe,school,",24,8.55
54,Kino's Journey (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1965,"adventure,psychological,slice of life,parables,tragedy,traveling,",13,8.54
55,Puella Magi Madoka Magica (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12120,"action,drama,magic,psychological,thriller,alternate reality,Dark fantasy,death,fighting,magical girl,moe,school,time loop,tragedy,witches,",12,8.54
56,Attack on Titan (TV 4/2019),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=21812,"action,drama,fantasy,horror,psychological,thriller,dystopia,military,post-apocalyptic,shapeshifting,superpowers,titans/giants,tragedy,",10,8.54
57,Gintama: The Final Movie,https://www.animenewsnetwork.com//encyclopedia/anime.php?id=14996,,1,8.52
58,Millennium Actress (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=374,"drama,psychological,romance,historical,",1,8.52
59,Monogatari Series Second Season (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15054,"comedy,drama,psychological,romance,supernatural,harem,vampires,youkai,",26,8.52
60,Kaleido Star (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1805,"comedy,drama,acrobatics,gymnastics,",51,8.51
61,Mushishi Tokubetsu-hen: Hihamukage (special),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=15745,,1,8.51
62,Time of Eve (ONA),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7998,"drama,science fiction,androids,café,roboethics,robots,",6,8.51
63,Natsume's Book of Friends (TV 2),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10254,"comedy,slice of life,supernatural,folklore,Iyashikei,spirits,",13,8.51
64,Kids on the Slope (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=13944,"drama,romance,coming of age,friendship,music,",12,8.49
65,(The)' Melancholy of Haruhi Suzumiya (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6430,"comedy,science fiction,slice of life,supernatural,school,",14,8.48
66,Gankutsuou: The Count of Monte Cristo (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=4194,"adventure,drama,mystery,romance,science fiction,futuristic,revenge,",24,8.48
67,Planetes (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=2654,"adventure,drama,romance,science fiction,love,space,",26,8.47
68,Natsume's Book of Friends (TV 3),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=12542,"slice of life,supernatural,spirits,youkai,",13,8.47
69,Mononoke (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7890,"mystery,supernatural,demons,",12,8.47
70,Clannad (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=7809,"comedy,drama,romance,Bishojo,family,harem,high school,moe,school,school life,",24,8.47
71,Castle in the Sky (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=481,"adventure,drama,fantasy,science fiction,lost city,steampunk,",1,8.46
72,Evangelion: 3.0+1.0: Thrice Upon A Time (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8423,"action,drama,science fiction,",1,8.46
73,Your Lie in April (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16108,"comedy,drama,psychological,romance,growing up pains,harem,music,pianist,poetic internal monologue,prodigy,school,trauma,",22,8.45
74,Samurai Champloo (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=2636,"action,drama,historical,samurai,swordplay,",26,8.45
75,NANA (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6115,"drama,romance,music,punk rock,relationships,",47,8.44
76,Gurren Lagann the Movie – The Lights in the Sky Are Stars,https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10576,"action,drama,romance,science fiction,aliens,fighting,mecha,space,super robot,superpowers,",1,8.44
77,Mushishi: Zoku-Shō: Suzu no Shizuku (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=17020,,1,8.44
78,Looking Up At The Half-Moon (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6300,"drama,romance,hospital,tragedy,",6,8.44
79,Ouran High School Host Club (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6122,"comedy,romance,slice of life,bishounen,crossdressing,host club,male harem,parody,school,school life,",26,8.44
80,Whisper of the Heart (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=847,"drama,romance,growing up,",1,8.44
81,Legend of the Galactic Heroes: Overture to a New War (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1865,"drama,science fiction,military,space,",1,8.44
82,Ghost in the Shell: Stand Alone Complex (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=910,"action,drama,mystery,science fiction,thriller,android,cyberpunk,cyborg,military,police,terrorism,virtual reality,",26,8.44
83,Time of Eve (movie),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=11350,"drama,science fiction,androids,café,robots,",1,8.43
84,Aria the Origination (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8657,"science fiction,slice of life,bishoujo,coming of age,futuristic,gondolas,iyashikei,moe,",13,8.43
85,Maria Watches Over Us (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=3150,"drama,romance,shoujo-ai,yuri,",13,8.42
86,Moribito - Guardian of the Spirit (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6634,"adventure,drama,fantasy,assassins,female bodyguard,fugitives,spirits,",26,8.41
87,Spice and Wolf II (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10269,"adventure,drama,fantasy,romance,economics,folklore,love,merchants,",12,8.41
88,Ashita no Joe 2 (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=915,"boxing,sports,",47,8.4
89,ef: a tale of memories (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=8192,"drama,psychological,romance,amnesia,love triangle,",12,8.4
90,ef: a tale of melodies (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10128,"drama,psychological,romance,supernatural,abuse,connected lives,death,love,orphans,siblings,tragedy,tragic past,",12,8.4
91,Angel Beats! (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=10885,"action,comedy,drama,fantasy,romance,amnesia,death,fighting,girls with guns,gunfights,high school,isekai,life after death,music,school,tragedy,tragic past,",13,8.4
92,Welcome to the NHK (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6357,"comedy,drama,psychological,conspiracy,dark comedy,fanservice,hikikomori,NEET,otaku,satire,",24,8.4
93,Black Lagoon: The Second Barrage (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=6832,"action,drama,crime,girls with guns,mafia,mercenaries,pirates,",12,8.4
94,Haikyu!! Second Season (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=16660,"comedy,drama,tournament,sports,volleyball,",25,8.38
95,A Place Further Than the Universe (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=19828,"adventure,comedy,drama,antarctica,high school,",13,8.38
96,Haibane Renmei (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1871,"drama,fantasy,mystery,psychological,amnesia,angels,iyashikei,redemption,",13,8.38
97,Violet Evergarden (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=19665,"drama,fantasy,science fiction,living dolls,military,steampunk,tragic past,war,",13,8.38
98,Hunter X Hunter (OAV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=1135,"adventure,drama,fantasy,thriller,assassins,organized crime,revenge,special abilities,",8,8.38
99,Cowboy Bebop: The Movie,https://www.animenewsnetwork.com//encyclopedia/anime.php?id=353,"action,drama,science fiction,bounty hunters,space,terrorists,",1,8.38
100,Maison Ikkoku (TV),https://www.animenewsnetwork.com//encyclopedia/anime.php?id=376,"comedy,drama,romance,apartment life,boarding house,",96,8.38
